index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,GSM
GSE39462_group32,SO_1568,SO_3819.4,SO_2832,SO_3837,SO_0919,SO_2829,SO_2800,SO_3855,SO_2791,SO_0930,SO_0933,SO_2787,SO_2780,SO_2769,SO_2767,SO_3888,SO_2759,SO_2753.2,SO_2745,SO_3904,GSM969638
GSE39462_group33,SO_0449,SO_3237,SO_1825,SO_3247,SO_1824,SO_1816,SO_1800,SO_0360,SO_1796,SO_1795,SO_3286,SO_1794,SO_1793,SO_0703,SO_3313,SO_0704,SO_1787,SO_3343,SO_1755,SO_0344,GSM969638
GSE39462_group34,SO_0536,SO_3597,SO_0358,SO_3599,SO_0752,SO_0753,SO_2110,SO_2093,SO_0760,SO_3651,SO_3681,SO_0346,SO_3682,SO_0344,SO_0761,SO_0762,SO_3715,SO_2087,SO_2086,SO_2085,GSM969638
GSE39462_group35,SO_2800,SO_2403,SO_2404,SO_2427,SO_2439.2,SO_2486,SO_2487,SO_2488,SO_2489,SO_2490,SO_2491,SO_2499,SO_0466,SO_2507,SO_2375,SO_2578,SO_2585,SO_2587,SO_2593,SO_2601,GSM969638
GSE25821_group1,UP_SO3102_at,SO3994_at,UP_SO2872_at,IG_SO4270_SO4271_at,UP_SO3299_at,UP_SO0356_x_at,UP_SO4752_at,UP_SO3807_at,IG_SO2164_SO2162in_x_at,UP_SO2202_at,UP_SO2029_s_at,UP_SO1876ic_x_at,UP_SO1524_at,UP_SO2317ic_x_at,UP_SO2747_at,UP_SO2816ic_x_at,UP_SO0890ic_x_at,UP_SO1949_at,UP_SO2938_at,SO0730_at,GSM634443
GSE25821_group2,UP_SO3102_at,UP_SO2872_at,SO3994_at,UP_SO0356_x_at,UP_SO3299_at,IG_SO4270_SO4271_at,UP_SO4752_at,IG_SO2164_SO2162in_x_at,UP_SO2202_at,UP_SO2029_s_at,UP_SO3807_at,UP_SO2938_at,UP_SO1876ic_x_at,UP_SO1524_at,IG_SO0968_SO0970_at,UP_SO2317ic_x_at,UP_SO2747_at,UP_SO2816ic_x_at,UP_SO0890ic_x_at,UP_SO2810ic_x_at,GSM634443
GSE25821_group3,UP_SO3102_at,UP_SO2872_at,SO3994_at,UP_SO3299_at,IG_SO4270_SO4271_at,UP_SO0356_x_at,UP_SO2202_at,UP_SO1876ic_x_at,UP_SO4752_at,UP_SO1524_at,UP_SO3807_at,IG_SO3667_SO3665_at,UP_SO2317ic_x_at,UP_SO2816ic_x_at,UP_SO4546ic_x_at,UP_SO0890ic_x_at,UP_SO2810ic_x_at,IG_SO2164_SO2162in_x_at,UP_SO2747_at,UP_SO4385ic_x_at,GSM634443
GSE25821_group4,UP_SO3102_at,UP_SO2872_at,UP_SO3299_at,SO3994_at,IG_SO4270_SO4271_at,UP_SO2202_at,UP_SO0356_x_at,IG_SO3667_SO3665_at,UP_SO4752_at,UP_SO1876ic_x_at,UP_SO3807_at,UP_SO2317ic_x_at,UP_SO1524_at,UP_SO3348_at,UP_SO2747_at,UP_SO2816ic_x_at,UP_SO4546ic_x_at,UP_SO2810ic_x_at,UP_SO0890ic_x_at,IG_SO2164_SO2162in_x_at,GSM634443
GSE25821_group5,UP_SO2161_s_at,IG_SO4270_SO4271_at,UP_SO2029_s_at,UP_SO2872_at,UP_SO3102_at,SO3819_at,SO1915_at,UP_SO2202_at,UP_SO3299_at,UP_SO1872_at,SO4349_at,SO1362_x_at,IG_SO0392_SO0393_x_at,IG_SO3301_SO3302_at,SO0817_at,IG_SO2597_SO2598_at,UP_SO3457_at,SO1518_x_at,IG_SO2564_SO2565_at,SO4319_at,GSM634443
GSE25821_group6,UP_SO3102_at,UP_SO2872_at,UP_SO3299_at,UP_SO2202_at,UP_SO1876ic_x_at,UP_SO2029_s_at,SO3819_at,UP_SO2317ic_x_at,UP_SO2161_s_at,UP_SO2816ic_x_at,UP_SO4546ic_x_at,UP_SO0890ic_x_at,UP_SO2810ic_x_at,IG_SO3667_SO3665_at,UP_SO4385ic_x_at,UP_SO1766ic_x_at,SO3994_at,UP_SO3807_at,IG_SO4270_SO4271_at,IG_SO2164_SO2162in_x_at,GSM634443
GSE25821_group7,UP_SO2029_s_at,SO1915_at,UP_SO2161_s_at,SO1362_x_at,SO4349_at,SO1361_x_at,IG_SO0392_SO0393_x_at,SO3819_at,UP_SO4554_at,SO3687_at,SO1518_x_at,UP_SO1872_at,UP_SO2872_at,UP_SO3299_at,SO0818_at,IG_SO2597_SO2598_at,SO0817_at,UP_SO3102_at,SO1324_at,SO0867_at,GSM634443
GSE25821_group8,UP_SO2161_s_at,IG_SO4270_SO4271_at,SO1915_at,SO3819_at,UP_SO2029_s_at,SO1362_x_at,SO1361_x_at,UP_SO2872_at,SO4349_at,SO1518_x_at,SO0817_at,SO4655_at,UP_SO2202_at,SO0818_at,UP_SO3102_at,UP_SO3299_at,SO4236_at,UP_SO1872_at,SO4319_at,IG_SO3301_SO3302_at,GSM634443
GSE25821_group9,UP_SO2161_s_at,SO1915_at,IG_SO4270_SO4271_at,SO3819_at,UP_SO2029_s_at,SO1518_x_at,UP_SO2872_at,UP_SO3299_at,UP_SO2202_at,UP_SO3102_at,SO4349_at,SO4655_at,SO0817_at,IG_SO0392_SO0393_x_at,SO1362_x_at,SO1042_x_at,SO1361_x_at,UP_SO1872_at,SO0867_at,SO4319_at,GSM634443
GSE25821_group10,SO1518_x_at,UP_SO2161_s_at,SO3819_at,UP_SO2029_s_at,IG_SO4270_SO4271_at,UP_SO2872_at,SO1915_at,UP_SO3102_at,UP_SO3299_at,SO1519_at,SO1362_x_at,UP_SO2202_at,SO4349_at,SO1361_x_at,SO4319_at,IG_SO0392_SO0393_x_at,UP_SO1872_at,IG_SO3301_SO3302_at,SO0817_at,SO1042_x_at,GSM634443
