index,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,CONCEPTS
GSE25821_group2,SO_3102,SO_2872,SO_3994,SO_0356,SO_3299,SO_4270,SO_4752,SO_2164,SO_2202,SO_2029,SO_3807,SO_2938,SO_1876,SO_1524,SO_0968,SO_2317,SO_2747,SO_2816,SO_0890,SO_2810,"['GO_0071480', 'GO_0009267', 'GO_0045277', 'GO_0090150', 'GO_0044281', 'GO_0006412', 'GO_0045892', 'GO_0008283', 'GO_0051301', 'GO_0051304']"
GSE25821_group3,SO_3102,SO_2872,SO_3994,SO_3299,SO_4270,SO_0356,SO_2202,SO_1876,SO_4752,SO_1524,SO_3807,SO_3667,SO_2317,SO_2816,SO_4546,SO_0890,SO_2810,SO_2164,SO_2747,SO_4385,"['GO_0003674', 'GO_0005622', 'GO_0005623', 'GO_0009987', 'GO_0016049', 'GO_0046933', 'GO_0055074', 'GO_0006281', 'GO_0016310', 'GO_0006810']"
GSE25821_group4,SO_3102,SO_2872,SO_3299,SO_3994,SO_4270,SO_2202,SO_0356,SO_3667,SO_4752,SO_1876,SO_3807,SO_2317,SO_1524,SO_3348,SO_2747,SO_2816,SO_4546,SO_2810,SO_0890,SO_2164,"['GO_00435779', 'GO_0009267', 'GO_0030447', 'GO_0034599', 'GO_0042744', 'GO_0034605', 'GO_0044702', 'GO_0007155', 'GO_0042592', 'GO_0072583']"
GSE25821_group5,SO_2161,SO_4270,SO_2029,SO_2872,SO_3102,SO_3819,SO_1915,SO_2202,SO_3299,SO_1872,SO_4349,SO_1362,SO_0392,SO_3301,SO_0817,SO_2597,SO_3457,SO_1518,SO_2564,SO_4319,"['GO_0006880', 'GO_0005622', 'GO_0007005', 'GO_0043226', 'GO_0044422', 'GO_0044464', 'GO_0043229', 'GO_0043231', 'GO_0044444', 'GO_0044424']"
GSE25821_group6,SO_3102,SO_2872,SO_3299,SO_2202,SO_1876,SO_2029,SO_3819,SO_2317,SO_2161,SO_2816,SO_4546,SO_0890,SO_2810,SO_3667,SO_4385,SO_1766,SO_3994,SO_3807,SO_4270,SO_2164,"['GO_0043307', 'GO_0009892', 'GO_0006355', 'GO_0045944', 'GO_0051599', 'GO_0032202', 'GO_0039535', 'GO_1901396', 'GO_0040048', 'GO_0032845']"
GSE25821_group7,SO_2029,SO_1915,SO_2161,SO_1362,SO_4349,SO_1361,SO_0392,SO_3819,SO_4554,SO_3687,SO_1518,SO_1872,SO_2872,SO_3299,SO_0818,SO_2597,SO_0817,SO_3102,SO_1324,SO_0867,"['GO_0005618', 'GO_0045901', 'GO_0008152', 'GO_0043930', 'GO_0010559', 'GO_0009267', 'GO_0006355', 'GO_0010498', 'GO_0007050', 'GO_0009314']"
GSE25821_group8,SO_2161,SO_4270,SO_1915,SO_3819,SO_2029,SO_1362,SO_1361,SO_2872,SO_4349,SO_1518,SO_0817,SO_4655,SO_2202,SO_0818,SO_3102,SO_3299,SO_4236,SO_1872,SO_4319,SO_3301,"['GO_0042493', 'GO_0009267', 'GO_0043066', 'GO_0006897', 'GO_0016055', 'GO_0045184', 'GO_0007610', 'GO_0009306', 'GO_0023052', 'GO_0007005']"
GSE25821_group9,SO_2161,SO_1915,SO_4270,SO_3819,SO_2029,SO_1518,SO_2872,SO_3299,SO_2202,SO_3102,SO_4349,SO_4655,SO_0817,SO_0392,SO_1362,SO_1042,SO_1361,SO_1872,SO_0867,SO_4319,"['GO_0005634', 'GO_0043229', 'GO_0005618', 'GO_0043226', 'GO_0005886', 'GO_0009986', 'GO_0031975', 'GO_0005615', 'GO_0030312', 'GO_0043227']"
GSE25821_group10,SO_1518,SO_2161,SO_3819,SO_2029,SO_4270,SO_2872,SO_1915,SO_3102,SO_3299,SO_1519,SO_1362,SO_2202,SO_4349,SO_1361,SO_4319,SO_0392,SO_1872,SO_3301,SO_0817,SO_1042,"['GO_0006814', 'GO_0044011', 'GO_0042221', 'GO_0046782', 'GO_0006414', 'GO_0006351', 'GO_0000209', 'GO_0040013', 'GO_0044237', 'GO_0008270']"
GSE25821_group11,SO_3972,SO_0818,SO_3972,SO_4349,SO_0185,SO_1518,SO_0817,SO_1361,SO_3972,SO_0867,SO_4655,SO_4651,SO_0758,SO_4319,SO_2337,SO_1362,SO_4055,SO_1486,SO_2161,SO_2029,"['GO_0008150', 'GO_0007165', 'GO_0016032', 'GO_0009987', 'GO_0048869', 'GO_0032501', 'GO_0006790', 'GO_0008610', 'GO_0015193', 'GO_0046872']"
