,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5114,9231,SO_1868,7.949644869,7.861669065,7.648582915,7.879966618,7.319672914,7.58002363,7.673972141,7.966325701
5115,5152,SO_1868,9.277214945,9.552669266,9.523010721,9.540188764,9.966099966,9.428818324,9.931522532,9.484130754
5116,6076,SO_1868,5.029291107,6.138913516,6.229421377,5.796853075,10.23933758,9.596364654,10.99949366,9.807707241
5117,9226,SO_1869,8.958099791,10.22419025,9.641092294,9.830762904,6.576957992,6.748194028,7.085805313,7.14688773
5118,5214,SO_1870,8.429407109,9.963392967,9.585784279,9.38821933,9.561049394,9.803677224,9.166241777,9.681073815
5119,5102,SO_1870,9.254954988,9.20388347,8.987708373,8.853992024,9.969521557,9.941322892,10.09580918,10.08969886
5120,13418,SO_1870,6.711237977,7.094078613,6.821376513,6.897468405,7.165221951,7.38208435,7.331197664,6.831308357
5121,2656,SO_1871,11.49510555,10.94708904,10.8874349,11.18592079,10.08260658,10.35696781,10.37751567,10.27826805
5122,14683,SO_1871,,,,,,,,
5123,2746,SO_1871,11.32646465,11.3641347,11.3943455,11.30140693,11.69699472,11.29739999,11.80615943,11.29940485
5124,524,SO_1872,11.13895176,11.41291716,12.01101976,11.26034995,10.63857741,10.35555767,10.47639823,10.92590216
5125,10752,SO_1872,7.448891355,7.520864873,7.541097296,7.185186038,8.219017648,8.139551802,7.879966618,7.926852432
5126,15262,SO_1872,,,,,,,,
5127,9433,SO_1873,10.33333018,10.21108989,10.26293911,10.41903855,10.70690074,11.19250479,11.22501916,10.98105443
5128,11447,SO_1873,5.651951131,4.583088054,5.265618341,4.870369052,4.935169192,4.381549031,4.826552953,4.970109933
5129,7964,SO_1873,8.082315862,7.719603329,7.812779535,7.874021308,8.535640234,8.301639487,8.164750272,8.10115544
5130,14534,SO_1874,,,,,,,,
5131,5397,SO_1876,7.244364671,6.01192803,6.365777172,6.17679823,7.810371365,8.287568508,8.144180687,8.114556188
5132,11801,SO_1876,5.869596011,5.7632147,5.729623132,5.241986498,6.031358534,6.035488383,5.759058279,6.256800043
5133,8936,SO_1876,9.571100986,9.28547467,9.296557984,9.275542761,8.90585731,8.779617059,9.355007095,9.065163894
5134,4074,SO_1877,12.51519935,12.64955794,12.72786066,12.556768,12.13962132,12.22438803,12.15912239,12.28779355
5135,1438,SO_1877,10.51610021,12.41670685,11.83431059,11.56710943,11.25917321,12.01386789,11.56823824,11.72947474
5136,9527,SO_1877,8.19598773,8.016982837,7.752172133,7.891974053,7.718533478,7.687813677,8.010353757,7.79705409
