,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
8274,SO3757,-1.249903705,-1.292571793,-1.279775775,-2.352967734,-2.319401814,-0.83359801,-2.55165457,-0.232161512
8275,SO3757,-1.078602107,-1.053546831,-1.042626101,-1.393177253,-3.747300433,-1.598284789,0.210180367,-0.937841452
8276,SO3758,0.00712582,-0.856792239,-4.458867095,-0.782757941,-2.323105884,-5.762837049,-1.475887022,1.915988504
8277,SO3758,-4.85293383,-1.88122971,,-1.81543492,-1.187572383,-0.740894316,-1.596568818,-3.588808967
8278,SO3759,0.222357246,0.420935465,-0.509139726,0.610185277,-1.044182232,-0.557651898,-0.087715808,-0.823043418
8279,SO3759,0.635266124,0.375170754,0.471573369,0.077276053,-0.655066038,0.049622349,-0.743558135,0.772168283
8280,SO3760,-3.181496437,-2.560168493,-5.721544773,,-3.272067694,-1.374285916,-2.196290733,-1.19382197
8281,SO3760,-1.705175026,-1.721902887,-2.623564176,-1.388777498,-2.716089307,-2.113199855,-0.722332058,-0.67422123
8282,SO3761,-2.11857298,-2.137296575,-2.651122056,-1.76597333,-3.891617006,-1.80151243,-1.240912172,-1.493704126
8283,SO3761,-2.421281668,-2.306591703,-2.296025969,-3.134834953,-2.149369076,-1.163504143,-1.24193624,-0.816225945
8284,SO3762,-2.414735548,-3.213800823,-4.246891277,,-5.361155666,-2.883326543,-2.734504551,-2.094720692
8285,SO3762,-1.633363456,-2.08849464,-3.163949504,-1.999609422,-2.12705211,-2.320223391,-1.658593826,-1.612587712
8286,SO3763,-2.900385215,-2.601809161,-4.076796146,-2.005542712,-4.863502795,-1.931654349,-1.731536936,-1.541469806
8287,SO3763,-2.483832066,-2.353369596,-3.904237491,-3.410625252,-3.025750473,-1.655511162,-2.783533936,-1.202907341
8288,SO3764,-0.086612597,-1.127255842,-1.941068058,-0.954264952,-1.720198127,0.099469021,-0.40527939,-1.444398337
8289,SO3764,-1.053286892,-1.399099709,-1.814745255,-1.833552659,-2.774659731,-1.125312722,-0.98148362,-1.747335596
8290,SO3765,-0.59174149,-0.436855709,-1.254426176,-1.715982349,-1.668627683,-0.569278264,-0.672170955,0.033632337
8291,SO3765,-0.243401735,-0.154369426,0.176138091,0.131048949,-1.504716729,-0.472127443,0.064493119,0.087491312
