,index,ORF,GSM87832,GSM88468,GSM88469,GSM88470,GSM88471,GSM88472,GSM88473,GSM88474,GSM88475,GSM88476,GSM88477,GSM88478,GSM88479,GSM88482,GSM88537,GSM88538,GSM88539,GSM88540,GSM88541,GSM88542
4313,4351,SO1958,0.149259365,0.128293401,0.186500558,0.23511432,-0.045431429,0.045442971,0.123003954,0.053806444,-0.043943348,0.392866916,-0.321928095,-0.272297327,-0.046921047,-0.407363571,0.028569152,-0.325539348,0.189033824,-0.560642822,0.057970069,-0.397828209
4314,1475,SO1959,0.481298942,0.376290383,0.242450074,0.36960607,0.089498151,-0.045431429,0.128293401,-0.104697379,0.145351386,0.063502942,-0.2968993,-0.177881725,0.142740172,0.116364757,0.25821739,-0.19759996,0.01720929,-0.117161344,0.309176187,-0.027674958
4315,7235,SO1959,0.481298942,0.376290383,0.242450074,0.36960607,0.089498151,-0.045431429,0.128293401,-0.104697379,0.145351386,0.063502942,-0.2968993,-0.177881725,,0.116364757,0.25821739,-0.19759996,0.01720929,-0.117161344,0.309176187,-0.027674958
4316,4355,SO1960,-0.15521265,0.140124224,0.40599236,0.351628329,,,0.149259365,-0.217591435,-0.081613766,0.064882852,-0.011587974,-0.219269964,-0.340075442,-0.407363571,-0.227692025,-0.418889825,0.201633861,-0.260151897,0.09895848,-0.541617996
4317,10115,SO1960,-0.15521265,0.140124224,0.40599236,0.351628329,,,0.149259365,-0.217591435,-0.081613766,0.064882852,-0.011587974,-0.219269964,0.230203013,-0.407363571,-0.227692025,-0.418889825,0.201633861,-0.260151897,0.09895848,-0.541617996
4318,1455,SO1961,,,0.263034406,0.212880566,,,,,,0.048236186,-0.274040765,-0.66428809,-0.321928095,0.008630305,0.217851097,0.159629186,,0.093560176,-0.112474729,0.094911647
4319,7215,SO1961,,,0.263034406,0.212880566,,,,,,0.048236186,-0.274040765,-0.66428809,0.074505436,0.008630305,0.217851097,0.159629186,,0.093560176,-0.112474729,0.094911647
4320,10095,SO1962,-1.399730246,,,0.09085343,,,,0.321928095,,,,0.485426827,0.074505436,,,,,,,0.632268215
4321,4335,SO1962,,,,0.09085343,,,,0.321928095,,,0.378511623,,,,,,,,,0.632268215
4322,2228,SO1963,0.551885103,,,0.071762669,,,,0.070389328,,-0.161653263,0.0,-0.048412205,,-0.158429363,,0.074505436,,0.242450074,,-0.072482754
4323,7988,SO1963,0.551885103,,,0.071762669,,,,0.070389328,,-0.161653263,0.0,-0.048412205,-0.18606493,-0.158429363,,0.074505436,,0.242450074,,-0.072482754
4324,2135,SO1964,,,,-0.579921884,,,,,,,,,,,,,,,,
4325,7895,SO1964,,,,-0.579921884,,,,,,,,,0.212880566,,,,,,,
4326,10868,SO1965,,-0.080087911,,0.220329955,,,-0.248107862,0.377401431,,-0.724992953,-0.069451881,-0.030619235,-0.070966521,-0.087733372,,,,0.137503524,-0.55851652,0.227741076
4327,5108,SO1965,,-0.080087911,,0.220329955,,,-0.248107862,0.377401431,,-0.724992953,-0.069451881,-0.030619235,0.432959407,-0.087733372,,,,0.137503524,-0.55851652,0.227741076
4328,2208,SO1966,-0.516635639,-0.169744676,-0.336427665,-0.174621396,-0.222632891,-0.03948829,-0.612637459,-0.606034724,-0.373327247,-0.508403406,-0.356605547,-0.103146927,-0.395928676,-0.043943348,-1.008682243,-0.859875776,-0.612637459,-0.518701058,-0.504304837,-0.50021788
4329,7968,SO1966,-0.516635639,-0.169744676,-0.336427665,-0.174621396,-0.222632891,-0.03948829,-0.612637459,-0.606034724,-0.373327247,-0.508403406,-0.356605547,-0.103146927,-0.150400989,-0.043943348,-1.008682243,-0.859875776,-0.612637459,-0.518701058,-0.504304837,-0.50021788
4330,10848,SO1967,-0.16326792,-0.098505545,,0.248534836,,,0.364012054,0.516015147,-0.098505545,-0.139235797,0.407080775,0.473007568,0.263034406,0.220329955,,0.269033146,0.0,0.485426827,-0.533242384,0.341416524
4331,5088,SO1967,-0.16326792,-0.098505545,,0.248534836,,,0.364012054,0.516015147,-0.098505545,-0.139235797,0.407080775,0.473007568,-0.219269964,0.220329955,-0.584241333,0.269033146,0.0,0.485426827,-0.533242384,0.341416524
4332,4959,SO1968,-0.161653263,-0.171368418,-0.114035243,-0.232768963,0.201633861,,-0.905088353,-0.805912948,-0.06039728,-0.145605322,-0.236163541,0.007195501,-0.123433941,-0.045431429,-0.614845103,-1.089267338,-0.251538767,-0.440263476,-0.358453971,-0.436353731
4333,10719,SO1968,-0.161653263,-0.171368418,-0.114035243,-0.232768963,0.201633861,,-0.905088353,-0.805912948,-0.06039728,-0.145605322,-0.236163541,0.007195501,,-0.045431429,-0.614845103,-1.089267338,-0.251538767,-0.440263476,-0.358453971,-0.436353731
4334,7972,SO1969,,,,0.277389699,0.683471893,,,-1.652901329,-0.106249498,-0.052894948,-0.424687669,-0.184424571,-0.401634795,-0.064917477,-0.424687669,-0.64385619,,-0.488026018,-0.275786313,-0.675765438
4335,2212,SO1969,,,,0.277389699,,,-0.628162383,,-0.106249498,-0.052894948,-0.424687669,-0.184424571,-0.823677227,-0.064917477,-0.424687669,-0.64385619,,-0.488026018,-0.275786313,-0.675765438
4336,10852,SO1970,0.053806444,0.014355293,0.510961919,0.33571191,0.129612738,-0.112474729,-0.625934282,-0.826232932,0.396159489,0.297484916,0.389566812,0.231432408,0.772307975,0.014355293,-0.077041036,-0.420819852,-0.364013496,-0.23786383,-0.244685096,-0.564904848
4337,5092,SO1970,0.053806444,0.014355293,0.510961919,0.33571191,0.129612738,-0.112474729,-0.625934282,-0.826232932,0.396159489,0.297484916,0.389566812,0.231432408,0.277389699,0.014355293,-0.077041036,-0.420819852,-0.364013496,-0.23786383,-0.244685096,-0.564904848
4338,7952,SO1971,-0.104697379,0.260627908,0.261831659,0.569491092,-0.205896101,0.177598929,-0.358453971,-0.120294234,-0.10780329,-0.249822294,0.020057652,0.094911647,0.290424404,0.182692298,-0.734563104,0.094911647,-0.606034724,0.178873958,-0.739372092,-0.048412205
4339,2192,SO1971,-0.104697379,0.260627908,0.261831659,0.569491092,-0.205896101,0.177598929,-0.358453971,-0.120294234,-0.10780329,-0.249822294,0.020057652,0.094911647,,0.182692298,-0.734563104,0.094911647,-0.606034724,0.178873958,-0.739372092,-0.048412205
