,index,ORF,GSM613947,GSM613948,GSM613949,GSM613950,GSM613951,GSM613952
289,10797,SO_0100,11.21851242,11.73722791,11.42584074,11.36073972,11.81030418,11.43271975
290,541,SO_0100,10.95820765,11.26243091,10.83539085,11.31486371,11.68627954,11.15208777
291,10936,SO_0101,10.07697572,9.626138256,9.947724725,9.164289759,9.509548201,9.221603138
292,1049,SO_0101,7.635316071,7.983645906,8.135386428,8.179031122,8.417630182,7.812867196
293,3926,SO_0101,11.69080813,10.53894433,8.853480556,10.94511092,9.81016673,11.63336672
294,279,SO_0102,6.923474737,7.313590984,7.432556741,7.099502153,7.334219558,6.9505012
295,6370,SO_0102,9.885708442,9.314059705,9.794999227,9.544074489,8.371836892,9.357564275
296,9459,SO_0102,9.761408352,9.900470301,9.30672387,10.4417245,10.08990232,10.18559211
297,4762,SO_0103,10.68987813,10.65281233,10.72629846,12.30255613,11.49482303,12.31862821
298,10562,SO_0103,7.768413545,7.313590984,8.285058539,8.075535041,8.815560135,8.004560282
299,8337,SO_0103,11.87493637,11.0512678,11.16314808,12.15227697,11.50049851,11.93594229
300,719,SO_0104,8.272762545,8.517967338,8.285058539,8.30021942,8.588911294,8.583108801
301,7635,SO_0104,15.2581586,15.10314783,14.98819659,14.73390906,14.34486271,14.29379237
