,GENE,GSM282000,GSM282001,GSM282002
5478,SO2494F,1.099154606,1.179504443,0.660398257
5479,SO2494F,1.061155449,1.065400281,0.781649745
5480,SO2495,0.013087383,-0.075558444,-0.263964243
5481,SO2495,-0.060009941,-0.048258568,-0.939938702
5482,SO2496,0.994797919,1.098070237,0.507368957
5483,SO2496,1.042543785,1.259908892,0.852122198
5484,SO2497,0.804017405,0.369308299,-0.177924158
5485,SO2497,0.5468152,0.652119941,0.281943205
5486,SO2498,-0.188965989,0.028326112,-0.499391182
5487,SO2498,0.115492886,-0.097707249,-0.541532142
5488,SO2498F,0.699364307,0.867722215,-0.163152203
5489,SO2498F,0.844429507,0.769562738,0.229340497
5490,SO2499,-0.274910709,-0.096400105,-0.858046532
5491,SO2499,-0.266372258,-0.370356551,-0.614834577
5492,SO2499F,0.132303858,-0.097133007,-0.69728237
5493,SO2499F,-0.05039636,0.014795247,-0.35899375
5494,SO2500,-0.435328867,-0.328305653,-0.672616932
5495,SO2500,-0.41250878,-0.278722717,-0.67134372
5496,SO2501,-0.203736064,-0.090721197,-0.585356172
5497,SO2501,0.138870423,-0.061048014,-1.531906612
5498,SO2502,-1.274458048,-0.784606623,-0.983829141
5499,SO2502,-0.851320233,-0.888994981,-1.627173562
5500,SO2502F,-0.76342693,-0.785351281,-1.225420762
5501,SO2502F,-0.858105871,-0.484907794,-1.346890226
5502,SO2503,0.906718953,0.836895577,0.233976364
5503,SO2503,0.847142193,1.101402639,0.463553231
5504,SO2504,0.192248717,0.205061283,-0.047963792
5505,SO2504,0.277403383,0.398658989,0.009925196
5506,SO2506,0.250788928,0.31208187,-0.08185825
5507,SO2506,0.327702378,0.243100726,-0.021771775
5508,SO2507,1.003225654,0.822960455,0.425339859
5509,SO2507,1.13282847,1.360109483,0.652304611
5510,SO2508,0.03759295,0.216073504,-0.311807362
5511,SO2508,0.000280557,0.085767292,-0.232804984
5512,SO2509,0.826535663,0.883756474,0.542992662
5513,SO2509,0.910124029,1.087492963,0.65024239
5514,SO2510,-0.063731367,-0.017464608,-0.167547905
5515,SO2510,0.066988988,-0.073512058,-0.13618702
5516,SO2510F,0.778049265,0.599476652,0.365199973
5517,SO2510F,0.468858194,0.731931493,0.392585147
5518,SO2511,0.980941222,0.822116832,0.628097605
5519,SO2511,0.729497927,0.947006387,0.362507009
5520,SO2512,0.441014438,0.367044816,0.143237372
5521,SO2512,0.345484224,0.866914482,-0.185159586
5522,SO2513,1.024229997,0.755454791,0.451643346
5523,SO2513,0.644764469,0.433285376,0.305748576
5524,SO2514,0.754824053,0.630862915,0.280318254
5525,SO2514,0.203671161,0.475988032,0.310868111
5526,SO2515,0.015115326,-0.081770989,-0.71740329
5527,SO2515,0.177218079,-0.450647968,-0.733820928
5528,SO2515F,-0.029300956,-0.070653589,-0.443402148
5529,SO2515F,-0.38622645,-0.331411994,-0.486537199
5530,SO2516,-0.427597763,-0.060895006,-1.113448138
5531,SO2516,-0.920362564,-0.390698614,-0.734901571
5532,SO2517,0.906217314,1.107603205,0.616544394
5533,SO2517,1.0971347,0.931224343,0.617380414
5534,SO2518,-0.401506974,-0.246940717,-0.92750013
5535,SO2518,-0.446733425,-0.318198157,-0.813187058
5536,SO2519,0.461410684,0.360991114,-0.514684179
5537,SO2519,0.187706907,0.308107986,-0.177115081
5538,SO2520,0.104515191,-0.053711144,-0.517342438
5539,SO2520,-0.009654574,0.022459787,-0.03547683
5540,SO2521,-0.789047826,-0.890836693,-1.456343151
5541,SO2521,-0.987242278,-0.958166816,-1.476208584
5542,SO2522,-0.747866611,-0.749421342,-1.791454739
5543,SO2522,-1.521177643,-0.378819366,-1.515920541
5544,SO2522F,-0.63925909,-1.14759602,-2.596470084
5545,SO2522F,-0.943280096,-0.984211076,-1.300431872
5546,SO2523,-0.381216534,-0.097854663,-1.338571154
5547,SO2523,-0.223673919,-0.641012599,-1.047116359
5548,SO2524,0.488750158,0.436177612,-0.314266951
5549,SO2524,0.510787883,-0.251344675,-0.869371678
5550,SO2525,0.400310684,0.261550311,-0.405376616
5551,SO2525,0.307031677,0.194593559,-1.493218559
5552,SO2526,-0.656921648,0.204589214,-0.666741346
5553,SO2526,-0.436481079,-0.167186424,-0.505722395
5554,SO2526F,0.019715416,-0.278920422,-0.4988568
5555,SO2526F,-0.285520624,-0.257616875,-0.660091683
5556,SO2528,-0.141742792,0.003807988,-0.957022521
5557,SO2528,-0.13267007,-0.14231082,-0.527203472
5558,SO2529,1.492386104,1.703318566,0.996391102
5559,SO2529,1.617301591,1.532853273,1.158714732
5560,SO2530,0.207663804,0.304393892,-0.030897414
5561,SO2530,0.117462393,0.211541378,-0.896507551
5562,SO2531,-0.782118678,-0.668270595,-1.913453864
5563,SO2531,-1.171698217,-1.370338777,-1.523007533
5564,SO2532,0.185044398,0.706104569,-0.057474843
5565,SO2532,0.352222914,0.784251505,-0.002583322
5566,SO2532F,1.265371662,0.938874722,0.610773732
5567,SO2532F,0.805150905,1.151298004,0.534386595
5568,SO2533,0.990068804,0.955332229,0.44303794
5569,SO2533,0.962494368,0.827167355,0.863760194
5570,SO2534,-1.392815278,-1.168044299,-1.998631858
5571,SO2534,-0.801650684,-1.093383337,-1.509422192
5572,SO2535,0.772284128,0.915019279,0.353209929
5573,SO2535,0.579057062,0.606884404,0.351796094
5574,SO2536,0.032038049,0.373706185,0.030268554
5575,SO2536,0.247800743,0.233938036,-0.010003387
5576,SO2537,0.635828423,0.486061094,0.22366375
5577,SO2537,0.451364698,0.263491358,-0.017044478
5578,SO2538,0.6048974,0.589879995,0.094414635
5579,SO2538,0.382526866,0.685654041,0.2231332
5580,SO2539,-0.282423413,-0.161879653,-0.297515518
5581,SO2539,0.151504886,0.261149647,-0.292560463
5582,SO2540,-0.288560891,-0.253473815,-0.674180798
5583,SO2540,-0.340886368,-0.140452845,-0.662266568
5584,SO2541,0.270256052,0.123316486,-0.212798344
5585,SO2541,-0.28091054,-0.154046403,-0.359115169
5586,SO2542,0.10005121,0.292408642,-0.301120204
5587,SO2542,0.414054278,0.335338934,-0.112328709
5588,SO2543,0.035915032,0.336920533,-0.303303986
5589,SO2543,0.069736945,0.135485088,-0.297768343
5590,SO2544,1.069855445,1.026474303,0.506399426
5591,SO2544,0.747973141,0.692644561,0.264373459
5592,SO2545,-0.903266853,-0.570695159,-1.478879774
5593,SO2545,-0.313461403,-0.618537832,-1.163142456
5594,SO2545F,0.381604881,0.446159408,0.189607758
5595,SO2545F,0.31374106,0.440953989,0.180303596
5596,SO2545F,0.359536402,0.27794009,0.108817452
5597,SO2545F,0.30459984,0.313664205,0.064683569
5598,SO2546,-0.694781242,-0.794813483,-0.923093391
5599,SO2546,-0.65497188,-0.628418884,-0.947938634
5600,SO2547,-0.890843817,-0.909672786,-1.217561933
5601,SO2547,-0.891220412,-1.089032802,-1.116298246
5602,SO2548,-0.650381653,-0.91286392,-1.491136157
5603,SO2548,-0.787416826,-0.649891707,-1.30844098
5604,SO2548F,-1.35412795,-0.992486727,-1.369422876
5605,SO2548F,-1.06101485,-0.973864969,-1.669651081
5606,SO2549,-1.218495437,-0.324015312,-0.871934419
5607,SO2549,-0.916591301,-0.7170116,-0.807432703
5608,SO2550,0.35036489,0.217635268,-0.520845312
5609,SO2550,0.196012921,-0.027284285,-0.587325966
5610,SO2551,0.210319363,-0.40217469,-0.511173658
5611,SO2551,0.144183554,-0.195958035,-0.182967309
5612,SO2552,-0.127039023,0.2053201,-1.415193632
