,index,ORF,GSM635111,GSM635112,GSM635113,GSM635114,GSM635115,GSM635116,GSM635117,GSM635118
1820,3421,SO_0653,11612.83333,2246.333333,10730.66667,8563.333333,12777.16667,14607.33333,11581.5,9615.0
1821,11412,SO_0653,2736.333333,2971.0,5732.333333,8003.0,8767.0,7630.666667,8064.666667,6270.333333
1822,9423,SO_0653,683.0,424.6666667,1136.0,1351.0,936.6666667,632.0,537.6666667,329.0
1823,5456,SO_0654,13782.0,3109.333333,4837.833333,5182.333333,6763.5,8002.0,2983.666667,2926.5
1824,1543,SO_0654,2994.333333,464.6666667,6010.833333,5701.666667,7238.666667,5904.333333,11308.66667,9580.666667
1825,8673,SO_0654,13550.5,13840.16667,13615.66667,14955.66667,12590.33333,10850.66667,16043.0,10768.5
1826,9426,SO_0655,2619.333333,915.0,2747.333333,2572.166667,1757.333333,1332.333333,1674.0,1476.333333
1827,8364,SO_0655,8362.666667,8408.833333,10634.66667,12669.66667,14815.33333,6736.0,25346.66667,22029.66667
1828,11989,SO_0655,1.0,264.0,197.5,199.3333333,203.3333333,268.0,69.66666667,116.1666667
1829,2022,SO_0656,16997.0,30990.66667,16052.5,9623.0,16300.66667,10940.66667,24595.33333,27586.66667
1830,5379,SO_0656,897.5,616.6666667,2235.666667,2642.666667,1850.333333,1923.833333,1184.5,1240.166667
1831,8056,SO_0656,44342.0,50128.33333,34908.33333,38839.0,43939.33333,35799.66667,56491.33333,40010.33333
1832,8583,SO_0657,46343.66667,35722.0,32909.33333,33364.33333,34787.0,38682.0,36164.0,42618.0
1833,12968,SO_0657,32104.33333,28614.66667,37137.16667,45287.0,38869.66667,49463.66667,43689.16667,45513.0
1834,6379,SO_0657,4199.5,5372.0,9634.666667,11941.66667,9458.5,7043.333333,9649.333333,7400.666667
1835,11756,SO_0658,84.5,161.6666667,116.5,329.0,440.5,160.6666667,535.1666667,583.6666667
1836,5522,SO_0658,14506.0,3042.166667,16650.66667,19765.0,21013.66667,24441.33333,31599.66667,11722.0
1837,1195,SO_0658,534.6666667,1277.166667,718.5,949.6666667,1026.333333,1396.666667,800.1666667,1058.333333
1838,9503,SO_0659,4339.5,5229.333333,7569.333333,10264.0,9414.0,7260.833333,8862.0,10525.33333
1839,4047,SO_0659,1142.166667,2932.0,338.8333333,555.0,590.1666667,660.0,541.0,538.1666667
1840,792,SO_0659,4619.166667,2643.333333,4292.333333,4523.0,5730.333333,5223.5,2730.333333,4018.0
1841,3875,SO_0660,2901.666667,5408.5,2635.833333,2603.5,3742.0,4083.333333,4640.333333,4293.333333
1842,7875,SO_0660,8743.833333,3042.166667,4629.0,4075.333333,4392.666667,2646.333333,2814.666667,3750.333333
1843,9167,SO_0660,2642.0,6375.333333,8063.666667,7968.333333,5893.0,5109.0,4014.0,2204.833333
1844,12417,SO_0661,565.3333333,901.6666667,1223.833333,1499.333333,1156.666667,1306.666667,615.0,666.6666667
1845,1721,SO_0661,1376.333333,758.3333333,2297.333333,2116.0,1660.0,2369.666667,1893.0,1532.666667
1846,5909,SO_0661,919.6666667,274.3333333,1240.0,770.0,269.5,522.6666667,338.6666667,346.6666667
1847,4099,SO_0662,18.33333333,56.0,300.0,383.3333333,333.3333333,327.6666667,988.3333333,1425.333333
1848,6921,SO_0662,1655.0,6825.0,1.0,199.3333333,203.3333333,184.6666667,1.0,45.66666667
1849,13072,SO_0662,2785.333333,13595.0,1784.0,1813.0,1564.666667,2602.5,1492.333333,1443.833333
1850,11592,SO_0663,13715.33333,7418.166667,4306.166667,3671.333333,1248.333333,2613.0,496.3333333,158.6666667
1851,7476,SO_0663,3163.333333,2265.0,1186.0,1240.666667,1371.166667,908.3333333,773.8333333,1197.5
1852,2809,SO_0663,11590.16667,3782.0,20867.33333,23858.83333,13021.0,18040.33333,7536.333333,5271.666667
1853,12486,SO_0664,1419.0,1739.0,2432.333333,2743.333333,1465.666667,1479.333333,1530.666667,2553.666667
1854,6801,SO_0664,1147.666667,412.3333333,116.5,734.6666667,269.5,1036.333333,1153.833333,1134.666667
1855,2968,SO_0664,21192.66667,21758.33333,9278.0,13782.0,17113.66667,15572.66667,22374.66667,18344.66667
1856,11152,SO_0665,2383.333333,742.0,3951.666667,4301.0,7499.833333,4890.333333,6274.166667,3896.333333
