SO_0001,{'GO_0010181'}
SO_0243,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
SO_0244,"{'GO_0019843', 'GO_0043229', 'GO_0015935', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_0245,"{'GO_0022627', 'GO_0019843', 'GO_0043229', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_0246,"{'GO_0002181', 'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0247,"{'GO_0019843', 'GO_0043229', 'GO_0008097', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_0248,"{'GO_0022627', 'GO_0019843', 'GO_0043229', 'GO_0015935', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_0003723', 'GO_1990904'}"
SO_0249,"{'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_1990904'}"
SO_0250,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_1990904'}"
SO_0251,"{'GO_0006605', 'GO_0005048', 'GO_0015031', 'GO_0008320', 'GO_0005886', 'GO_0065002', 'GO_0031522', 'GO_0043952', 'GO_0016020', 'GO_0006616'}"
SO_0252,"{'GO_0043229', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_0253,"{'GO_0019843', 'GO_0015935', 'GO_0003735', 'GO_1990904', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_0005829'}"
SO_0254,"{'GO_0022627', 'GO_0019843', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0255,"{'GO_0019843', 'GO_0042274', 'GO_0015935', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
