subject,predicate,object
Nf15b04f3baed49ff9f5cd78a459abffa,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
N30b8f32cd46b471687569384dded5d8f,22-rdf-syntax-ns#first,GO_0065007
GO_0008937,rdf-schema#subClassOf,GO_0016731
GO_0006229,rdf-schema#subClassOf,GO_0009221
GO_0140993,rdf-schema#subClassOf,Nf1089bc3c757406bbc041b633b326988
N11c805e99e4d4717ba5939736e28ab63,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0006996,oboInOwl#hasAlternativeId,GO:1902589
GO_0009914,rdf-schema#subClassOf,GO_0006810
N3e88f8d117ff4b7e9bb367704694af59,owl#someValuesFrom,GO_0010467
GO_0005634,oboInOwl#inSubset,go#goslim_drosophila
N2f2d3be8cc1c4902a4db318f6dd1ccc5,owl#someValuesFrom,GO_0048316
N18dba891426a4679aa087253f7d9c928,owl#onProperty,RO_0002212
N42cf135d1b6f40099f4499dd683c8f35,22-rdf-syntax-ns#rest,N03658862d5a24c1e967265647c905225
N5b23941958d349048e08b168c9c66823,owl#onProperty,RO_0002211
GO_0003824,oboInOwl#inSubset,go#goslim_generic
GO_0098719,oboInOwl#hasAlternativeId,GO:0097369
GO_0016895,rdf-schema#subClassOf,GO_0004529
N8b74e872a7dd45308c3cd227d511f6cd,owl#onProperty,RO_0002212
N869364dec97149d6bcc53f106b512651,owl#someValuesFrom,GO_0004674
Nace7f6ae718b430b9152349f7916dea3,22-rdf-syntax-ns#first,GO_0065007
GO_0003887,oboInOwl#hasAlternativeId,GO:0016451
N30ec9fda62bf4e1fa5b9932153148b22,owl#onProperty,RO_0002211
GO_0001817,owl#equivalentClass,Nd56235a9384d486d92384c5aef5cc0db
GO_0015937,rdf-schema#subClassOf,GO_0009152
GO_0008113,oboInOwl#hasAlternativeId,GO:0072561
GO_2000780,rdf-schema#subClassOf,GO_2000779
GO_0003848,oboInOwl#inSubset,go#goslim_chembl
GO_0051341,owl#equivalentClass,N31f5c2cb8e6542708c95dad4cff906b2
GO_0006366,rdf-schema#subClassOf,GO_0006351
GO_0022627,oboInOwl#hasAlternativeId,GO:0005843
GO_0004519,rdf-schema#subClassOf,GO_0004518
GO_0015891,rdf-schema#subClassOf,GO_1901678
GO_0046872,oboInOwl#inSubset,go#goslim_metagenomics
GO_0030612,rdf-schema#subClassOf,GO_0030611
GO_0030422,rdf-schema#subClassOf,GO_0070918
N8a4319913c594c8cbd351ad449271e31,owl#onProperty,RO_0002213
GO_0000293,rdf-schema#subClassOf,GO_0016722
GO_0005576,oboInOwl#inSubset,go#goslim_euk_cellular_processes_ribbon
GO_1903034,rdf-schema#subClassOf,GO_0080134
GO_0004534,rdf-schema#subClassOf,GO_0008409
GO_0061025,oboInOwl#hasAlternativeId,GO:0006944
N7468a2b1300a4f6e9b6fee0721741b81,owl#intersectionOf,Na8f53db4b64940a48c7d39ba67828e88
Ndb5169dc893a4c88bbcd8166cf98488c,owl#onProperty,BFO_0000050
GO_0006026,rdf-schema#subClassOf,GO_0006022
GO_0046176,rdf-schema#subClassOf,GO_0019520
N4bff67cfab4042b1b0eb80a393d23e05,owl#someValuesFrom,GO_0006869
GO_0045900,owl#equivalentClass,N1a2620ad10444272a4469a7081727957
GO_0043085,oboInOwl#inSubset,go#gocheck_do_not_annotate
GO_0140110,oboInOwl#inSubset,go#goslim_prokaryote
N2084a070150b4cd182c87ff6599635eb,owl#onProperty,RO_0002211
N32248b5724594808bfc0e8ebb5bd9206,22-rdf-syntax-ns#first,N6e28ad36a3ab4f8697817079c9d5492f
GO_0043087,oboInOwl#hasAlternativeId,GO:0043088
GO_0048278,rdf-schema#subClassOf,GO_0140056
N3d9ce908c68f4d46bfa99f73d1ca8f2f,owl#onProperty,BFO_0000050
GO_0034404,rdf-schema#subClassOf,GO_0044283
GO_0016236,oboInOwl#hasAlternativeId,GO:0034262
GO_0019877,rdf-schema#subClassOf,GO_1901570
GO_0043682,oboInOwl#hasAlternativeId,GO:0004008
Nf7b4d8ba2b7a4748b93b9d5eb8f4099f,owl#onProperty,RO_0002211
GO_0004479,rdf-schema#subClassOf,Nd1e5284020a243ddbadb3aa45aedf851
N3e4bea11c00e44958d25b22ebd918782,22-rdf-syntax-ns#first,GO_0031982
GO_0043708,rdf-schema#subClassOf,N7266d628f6604938b5300dda4b1c1245
GO_0046133,rdf-schema#subClassOf,GO_0046131
GO_0016879,rdf-schema#subClassOf,GO_0016874
GO_0001702,rdf-schema#subClassOf,GO_0007369
GO_0006392,rdf-schema#subClassOf,GO_0006354
GO_0018126,rdf-schema#subClassOf,GO_0036211
GO_0003916,oboInOwl#hasAlternativeId,GO:0009387
Neb10897755364422ae1226356168254f,22-rdf-syntax-ns#rest,Nc4333398e24d4bdfa046a4492059dff6
GO_0007006,owl#equivalentClass,Ne49c8b3a6eb44308874c1d99131292e2
N919e1fec840f4e6183076aa353a6f696,owl#someValuesFrom,GO_0031564
GO_1901991,rdf-schema#subClassOf,GO_1901990
GO_0006544,rdf-schema#subClassOf,GO_0009069
N2987f0def0ba4c9492701136d7481ed5,owl#someValuesFrom,GO_0015699
N89887664176b4ce387b1beb0e740601f,owl#someValuesFrom,GO_0006793
GO_0061013,rdf-schema#subClassOf,GO_1903311
GO_0051093,rdf-schema#subClassOf,GO_0050793
GO_0034628,rdf-schema#subClassOf,GO_0034627
GO_0006730,oboInOwl#hasAlternativeId,GO:0019754
GO_0016937,rdf-schema#subClassOf,GO_0003995
N3235d72834e24bb6886f4679eb11d33d,owl#someValuesFrom,GO_0071705
N7182e92154da4c8f8c30c59a51d28f94,owl#someValuesFrom,GO_0035461
GO_0051091,rdf-schema#subClassOf,N7817d037dfee4aefaf59ad24b0465f54
GO_0000132,oboInOwl#hasAlternativeId,GO:0030607
GO_0032103,owl#equivalentClass,N786c588cd1774f3fb2e98babe6fe817e
GO_0001588,oboInOwl#hasAlternativeId,GO:0001590
GO_0000795,rdf-schema#subClassOf,GO_0099086
GO_0034765,rdf-schema#subClassOf,GO_0034762
GO_0009243,rdf-schema#subClassOf,GO_0046402
GO_0009620,oboInOwl#hasAlternativeId,GO:0009621
GO_0006183,rdf-schema#subClassOf,GO_0046039
GO_0036376,rdf-schema#subClassOf,GO_0140115
GO_0006839,oboInOwl#inSubset,go#goslim_drosophila
Nfd7fbedbd2f448e4bb02a3d8029976e6,owl#someValuesFrom,GO_0009425
GO_0034508,rdf-schema#subClassOf,GO_0065004
GO_0045935,rdf-schema#subClassOf,GO_0019219
GO_0046037,rdf-schema#subClassOf,GO_0009167
Na5f54225137e4ac28f448127bdac34f8,owl#onProperty,BFO_0000050
GO_0006208,rdf-schema#subClassOf,GO_0046113
Nef72ba4ac30043ed88dc5d8849f5c9b8,22-rdf-syntax-ns#rest,Neffcfabe8a774933b4423158e63ae37e
N9103b5402438444fb35ef9e9a9249718,owl#someValuesFrom,GO_0042692
Nc4258c5bcd2e49f8bf7870e450d1224d,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_1904892,rdf-schema#subClassOf,N7a311a57eefb4afb9c5d07d5250e0ff3
GO_0009157,rdf-schema#subClassOf,GO_0009162
GO_0005783,rdf-schema#subClassOf,GO_0043231
GO_0008608,rdf-schema#subClassOf,GO_0022402
GO_0048731,oboInOwl#inSubset,go#goslim_mouse
N0f38e7fd5d9b460f8c148fc5dcadd939,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0005856,oboInOwl#inSubset,go#goslim_prokaryote
GO_0003727,oboInOwl#hasAlternativeId,GO:0003728
Na2a190143ad143a0b64a7efc83c092f8,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0004057,oboInOwl#hasAlternativeId,GO:0042172
GO_0090329,rdf-schema#subClassOf,Ne57aa1a921f84903907565d7d572e7d6
GO_0016775,rdf-schema#subClassOf,GO_0016772
GO_0015932,rdf-schema#subClassOf,N35a00e4b8af4470f993a1d94bda05895
GO_2000377,rdf-schema#subClassOf,GO_0031323
GO_0046457,rdf-schema#subClassOf,GO_0006636
GO_0070297,owl#equivalentClass,Nfe8e3860fb3b43be8f04d0e8fa3269ca
GO_0009536,rdf-schema#subClassOf,GO_0043231
N7778639e266742c2b361a3a4740756e2,22-rdf-syntax-ns#first,GO_0065007
GO_0032506,rdf-schema#subClassOf,Nd6afd0f15b2d4d07b7b014752d21e387
GO_0002262,rdf-schema#subClassOf,GO_0002376
GO_0043597,owl#equivalentClass,Na8deb8743ff24fbfba9be7d9c7984991
N6562db3bffeb42a2bfe4af4c48c0a837,owl#intersectionOf,N5adc2da3c76a4b4283c2e2fb7b0215af
GO_0015295,rdf-schema#subClassOf,GO_0015078
GO_0045761,rdf-schema#subClassOf,GO_0031279
N0c5487917ad746499d73aba25f607908,22-rdf-syntax-ns#first,GO_0065007
GO_0031419,rdf-schema#subClassOf,GO_0046906
GO_0008308,rdf-schema#subClassOf,GO_0005253
GO_0031325,owl#equivalentClass,N4f1dba5e0edb42b29c1e7d3292b570fa
GO_0030546,rdf-schema#subClassOf,GO_0030545
GO_0000132,oboInOwl#hasAlternativeId,GO:0030609
Na843b83f8016437fbc1eca3766f6d8ec,owl#onProperty,BFO_0000050
GO_0015820,rdf-schema#subClassOf,GO_0015807
GO_0001666,rdf-schema#subClassOf,GO_0036293
GO_0019933,rdf-schema#subClassOf,GO_0141124
GO_0006694,rdf-schema#subClassOf,GO_0008610
GO_0009607,oboInOwl#inSubset,go#goslim_metagenomics
GO_0001963,rdf-schema#subClassOf,GO_0007268
Ncd23144693d94b4a8a58ab69cb2e9e3b,22-rdf-syntax-ns#first,Nc0e6b868371946ddb586fb89a23b5a03
N58e488aa37e04564b27655124b4d9b89,22-rdf-syntax-ns#first,N652d1947eccc4fcfa37e8c2fa8c7bba2
Nc49f42d083c64c67a0ef126e67262119,owl#onProperty,RO_0002212
GO_0098798,rdf-schema#subClassOf,N72d95a82f6ad4d9bb2dd6c43561fb149
GO_0051087,rdf-schema#subClassOf,GO_0005515
GO_0008271,rdf-schema#subClassOf,GO_0015116
GO_0006082,oboInOwl#inSubset,go#goslim_pir
N6e9d30157b584d589ba24085b51c08d0,22-rdf-syntax-ns#rest,N726bc84bfe9e47e8ad3394c9c268e69f
GO_0003697,rdf-schema#subClassOf,GO_0003677
GO_0005657,rdf-schema#subClassOf,GO_0110165
N32a3102d396b49c98c36ca4b3e143261,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
N237039c3d4f849cd8d382b0fdb33ee70,22-rdf-syntax-ns#rest,N46632d1ff32c40298cee41822aca54c2
N17339007905c44a3bb3802e6dd761466,owl#someValuesFrom,GO_0030036
