SAMPLES,CONCEPTS
GSM1087836,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_1900128', 'GO_0150105', 'GO_1902461', 'GO_0010201', 'GO_0006404', 'GO_0006702']"
GSM1087837,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_1900128', 'GO_0150105', 'GO_1902461', 'GO_0010201', 'GO_0006404', 'GO_0006702']"
GSM1087838,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_1900128', 'GO_1902461', 'GO_0050772', 'GO_0030527']"
GSM1087839,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_1900128', 'GO_1902461', 'GO_0050772', 'GO_0030527']"
GSM1087840,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0051034', 'GO_0006702', 'GO_0098913', 'GO_0042243', 'GO_0035785', 'GO_1905817', 'GO_0090546']"
GSM1087841,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0051034', 'GO_0006702', 'GO_0098913', 'GO_0042243', 'GO_0035785', 'GO_1905817', 'GO_0090546']"
GSM1087842,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0051034', 'GO_0098913', 'GO_1905817', 'GO_0035785', 'GO_0090546', 'GO_0046812']"
GSM1087843,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0051034', 'GO_0098913', 'GO_1905817', 'GO_0035785', 'GO_0090546', 'GO_0046812']"
GSM1087844,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0051034', 'GO_0006702', 'GO_0098913', 'GO_0042243', 'GO_1905817', 'GO_0035785', 'GO_0046257']"
GSM1087845,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0051034', 'GO_0006702', 'GO_0098913', 'GO_0042243', 'GO_1905817', 'GO_0035785', 'GO_0046257']"
GSM1087846,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0051034', 'GO_0098913', 'GO_1905817', 'GO_0035785', 'GO_0046812', 'GO_0046257']"
GSM1087847,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0051034', 'GO_0098913', 'GO_1905817', 'GO_0035785', 'GO_0046812', 'GO_0046257']"
GSM2976230,"['GO_0046119', 'GO_0110121', 'GO_0032978', 'GO_0055121', 'GO_0021953', 'GO_0097272', 'GO_0016515', 'GO_0003127', 'GO_0071697', 'GO_0050013']"
GSM2976231,"['GO_0003127', 'GO_0006633', 'GO_0110121', 'GO_0031603', 'GO_0046325', 'GO_0045968', 'GO_1905717', 'GO_1903844', 'GO_1990706', 'GO_0048241']"
GSM2976232,"['GO_1990706', 'GO_0110121', 'GO_0034066', 'GO_0046119', 'GO_1905210', 'GO_0008112', 'GO_0055121', 'GO_0003127', 'GO_0071672', 'GO_2000866']"
