,GENE,GSM2732663,GSM2732664,GSM2732665,GSM2732666,GSM2732667,GSM2732668,GSM2732669,GSM2732670,GSM2732671,GSM2732672,GSM2732673,GSM2732674,GSM2732675,GSM2732676,GSM2732677,GSM2732678,GSM2732679,GSM2732680,GSM2732681,GSM2732682,GSM2732683,GSM2732684
49,SO_0017,0.67112637,1.0445542,1.2407708,0.507905,0.83647585,-1.6996055,-0.91575193,0.9271152,-1.1686745,-1.7494402,-0.10282159,-0.6331954,0.15358114,1.593029,-1.149054,-1.7434192,0.10282159,-0.9193044,0.5067947,2.3586407,-0.59332705,-1.4660354
50,SO_0018,0.22188902,-0.10124731,-0.27537823,-0.301229,-0.30624676,-0.119904995,-0.07058382,0.4422593,-0.093765736,0.325006,0.4139738,0.07058382,-0.323812,0.08055353,0.27502012,-0.19841242,-0.7566948,-0.41477394,0.58330727,0.12366104,0.3112321,0.10159922
51,SO_0018,0.000976,-0.17208314,-0.24799371,0.57192445,0.55580544,-0.43651605,-0.000976324,-0.98061943,0.27247787,0.47124934,0.7499068,0.77712226,0.3782971,0.4812529,-0.5730765,-0.64789796,-1.3031297,-0.13272595,0.9639828,-0.17045236,0.6587217,-0.008579016
52,SO_0018,-0.33123302,-0.3248024,-0.3896351,-0.26275063,-0.05997944,-0.34764528,-0.27924442,-0.54794216,0.012854099,0.39899397,0.59171104,0.3620038,0.03356695,0.27138853,-0.012854099,0.1602068,-0.036497593,-0.3324914,0.4791503,0.29945374,0.31819773,0.50375414
53,SO_0019,-0.01983738,-0.2900524,-0.4589119,-0.7967906,-0.8332453,0.8914833,-0.44599628,0.282444,-0.090750694,0.01983738,0.23519611,0.35928106,-0.650939,-0.49010563,0.33533955,0.40088987,0.12783384,-0.24003887,-0.12176609,0.03182316,0.118083,0.6601343
54,SO_0019,-0.11647987,0.01868391,-0.8990445,-0.4513173,-0.5428605,0.4322672,-0.40142012,0.25240564,-0.4100623,-0.2638626,0.32634974,-0.01868391,-0.22467422,-0.32440186,0.5492625,0.3733878,0.2794466,-0.19698954,0.45176744,0.32722998,0.7019191,0.74971485
55,SO_0019,-0.1591022,-0.5477855,-0.1609757,-0.17573857,-0.33781552,-0.6992557,-0.12461257,0.41288924,0.11583829,0.09880376,0.33750224,0.49083495,-0.11279988,0.008033514,-0.008033514,0.39637208,-0.392802,-0.17117095,0.7031777,0.3146913,0.46370053,0.7594626
56,SO_0020,0.03865671,-0.10144234,-0.38515568,-0.075855255,0.009560585,0.70668936,-0.49330568,0.5887842,0.057341576,0.081680775,-1.214438,0.17258883,-1.0897331,-1.0343742,-0.517725,0.17604733,0.13654518,-0.15131426,-0.8973489,0.20175838,-0.009560585,0.68266726
57,SO_0020,0.75948215,0.7877152,0.31355977,0.6110332,0.41440988,0.050709963,0.49768186,-0.5193341,0.0328238,-0.015568972,-0.9861219,-1.9900742,0.1193583,0.015568972,-1.3423979,-1.6503999,-1.0947406,-1.017612,0.4744742,-0.7888787,-2.979624,-3.4813507
58,SO_0020,1.064709,1.2162678,1.5468013,0.657552,1.1403358,0.62433314,0.9006765,0.1398685,0.32400775,0.4596002,-0.4219296,-1.3023331,0.039691687,-0.13060498,-0.73353314,-0.5244849,-0.6469028,-0.28611445,-0.9942677,-0.039691687,-2.7541058,-3.4370773
59,SO_0021,0.6809921,-0.2618966,0.51014423,1.0162344,0.8520088,-0.036361694,0.19712019,-0.4524312,0.857049,0.7920294,-0.53568125,-0.20150042,0.32704306,-0.46659803,-0.45889902,-1.0285969,0.43863153,0.09798288,0.036361694,-1.0737052,-2.2555566,-3.1176229
60,SO_0021,0.030342102,0.19406843,-0.6509166,0.69535017,0.6187682,0.24280643,0.18554878,-0.39914465,0.38714457,0.48421478,-0.5209856,-0.14844131,0.40618086,0.14256334,-0.91294336,-0.70290804,-0.12593985,-0.14098454,0.17725563,-0.030342102,-0.8428211,-0.996789
61,SO_0021,0.5726192,0.13940978,-0.18764615,1.1513727,1.0593812,-0.20077872,-0.06277299,-1.0358465,0.5424688,0.43046165,-0.20693946,-0.57262874,0.40236354,0.29890037,-0.3020203,-0.4147575,0.34171748,0.15675807,-0.15248895,0.06277299,-1.82777,-1.7780879
62,SO_0022,0.20847559,0.35361576,0.7022109,0.046990395,0.3160019,0.27995062,0.592772,0.55398846,0.16340399,0.05915737,-0.046990395,-0.5161648,-0.21298027,-0.3331151,-0.3553791,-0.80166864,-0.09033728,-0.08425903,0.51035166,-0.17191982,-0.1624589,-0.49868345
63,SO_0022,-0.18434644,0.11907649,-0.013930559,-0.057636023,0.15899873,0.013930559,-0.24872136,-0.8170583,-0.040642977,0.043234587,-0.72801423,-1.1366727,0.15890765,-0.10777116,-0.7575176,0.2733152,0.24280429,-0.16662145,0.12319398,0.301934,0.047121286,0.17936873
64,SO_0022,0.23197985,0.26764345,0.2664194,0.04711008,0.03846979,1.229146,0.2013669,0.5347285,-0.03846979,-0.04057932,-0.28698492,-0.23273802,-0.2982297,-0.4880972,-0.4076624,-0.07249212,-0.3287425,0.26878166,-0.83608294,0.2654276,-0.7605252,0.73910856
65,SO_0023,0.6523175,-0.020868778,2.1142592,-0.1357007,-0.006687164,0.16493845,0.6286254,0.46279335,0.013426781,0.4414544,-0.03135252,0.2767148,-0.036844254,-0.18813229,3.313055,-1.0625532,0.006687403,-0.06823325,0.1495707,-1.3795447,-0.79983544,-0.38395977
66,SO_0023,0.4764471,-0.15485144,0.21154642,0.095805645,0.5946536,0.58414125,-0.7065754,-1.1482351,-0.047253132,-0.13385344,-0.3936305,-1.062876,-0.19226027,-0.041907787,0.55561113,0.62453365,-0.67955875,-0.73534083,0.12674761,1.0319052,0.7786398,0.041907787
67,SO_0023,0.4556992,0.38043475,0.15644336,-0.3006184,0.06541228,-0.08131528,-0.012912989,0.4823277,0.009835482,0.17648005,-0.2130177,-0.46024275,-0.07020354,-0.16784883,0.3250835,-0.19858432,0.5648978,-0.2968042,0.7276375,-0.46265483,0.69552064,-0.009835482
68,SO_0024,0.97569823,0.7693312,0.759886,-0.097105265,0.79365134,0.6018646,1.8978722,1.1332424,0.5051291,0.5555141,-0.24289536,-0.19936252,0.097105265,0.24092269,-0.15075374,-0.43079782,-1.1569707,-1.0277467,-0.18013382,-1.5501935,-1.4841678,-0.7836704
69,SO_0024,0.35036016,0.2412126,0.20931363,0.16676545,0.42617917,-0.030775785,0.09648633,-0.53736854,0.1635015,0.87883353,0.13671136,-0.108664274,-0.2536118,-0.8339131,-0.24025941,-0.110070944,-0.01923871,0.93368506,-0.4744091,-1.9384983,0.01923871,-0.71520114
70,SO_0024,-0.8641958,0.77234936,1.8528671,-0.69897985,0.59974766,0.63394594,0.014899731,-0.014899731,-1.4915128,0.26506472,-0.7365856,-0.5525751,0.84140205,-1.3232193,-0.5530944,-0.7024684,0.42650437,-0.13958216,0.35208678,0.19214487,0.027471542,-0.6121049
71,SO_0025,0.44161463,0.4244094,0.049293995,0.055381298,0.17910576,0.23797989,0.61607313,-0.32739067,0.055109978,0.30670547,-0.31826353,-0.049293995,-0.10363865,0.22917175,-0.7582612,-0.41210222,-1.3278458,-0.71241,-0.8263316,-0.2521963,-0.39046335,0.3356037
72,SO_0025,0.3857398,-0.09025812,0.001395702,-0.40039587,0.01648426,0.037387848,-0.001395702,0.0783205,0.18334866,-0.028682232,-0.14662027,-0.80144787,0.22162151,0.15496635,0.07212734,-0.46272898,-0.28180742,-0.229671,-0.15695047,0.3591876,0.41230392,-0.19069338
73,SO_0025,0.2971325,-0.03033638,-0.006304741,0.12811422,0.24548006,-0.5075097,-0.2639799,-1.2454438,0.32471228,0.034738064,0.006304741,0.19026709,-0.11617565,0.122540474,-0.03999901,0.34382153,-0.456182,-0.17615318,-0.5206604,-0.1751337,0.14864492,0.40017366
74,SO_0026,-0.2250247,0.028292656,-0.17009735,-0.54555607,-0.63819885,0.21919966,-0.57860565,-0.16138077,-0.2340641,-0.44137287,0.3090806,0.2556324,-0.594584,-0.69970036,0.29146242,-0.028292656,0.13216543,0.14706707,0.5377083,0.27946138,0.48792267,0.28003502
75,SO_0026,-0.17728615,-0.03154564,0.113824844,-0.5125952,-0.4054327,0.5178113,-0.36177874,0.03154564,-0.5691385,-0.048799038,0.44654417,0.2188878,-0.7385988,-0.50406265,0.29164553,0.37321568,0.4753046,0.23014021,-1.7728572,0.47043896,-0.047566414,0.11067724
76,SO_0026,0.039755344,0.10412741,0.1876378,-0.75180006,-0.60585165,0.32422256,0.02031231,0.43154955,-0.35077238,-0.25420475,0.25406933,-0.24330616,-0.6695752,-0.8372073,-0.074534416,-0.093280315,-0.02031231,0.1333499,0.35635424,0.09796286,0.101436615,-0.16043568
77,SO_0027,0.24737883,0.73906946,0.6190715,0.4648137,0.04510641,0.07526684,0.60047245,-0.15863705,0.35767317,0.77772045,-0.3557191,0.049572945,-0.04510641,0.307652,-0.47134304,-0.5308347,-1.2135639,-0.90935755,-0.58883667,-0.36253023,-0.96243477,-0.85442305
78,SO_0027,-0.2795496,0.4609952,1.2805781,0.09794378,0.105326176,-0.054071426,0.68628216,-0.3280239,0.31609964,0.22784996,0.2103796,-0.049558163,0.049558163,0.14184809,-0.1832819,0.11698961,-1.0733333,-0.3615961,-0.19729948,-0.45079422,-0.71896267,-0.6797886
79,SO_0027,-0.041244984,-0.27493143,-0.09284067,0.32243967,0.5185275,-0.003871918,0.04617977,-0.8857131,0.56358194,0.7541647,0.24059963,0.165133,0.4735284,0.12109327,0.14266586,-0.1740346,-0.83279705,-0.66788244,0.003871918,-0.6951785,-0.46691942,-0.517828
80,SO_0028,0.7784016,0.7490604,-0.7570064,-0.10964179,0.027641535,0.6839664,0.23200774,-0.027641535,0.68368506,0.13576245,0.22440839,0.7565739,0.5872004,0.07654691,-0.45714355,-0.30303836,-0.28674197,-1.4287832,-1.3721349,-1.8785274,-0.44272113,-0.08851075
81,SO_0028,1.8195949,1.4706097,1.1589599,-0.035019875,0.035019875,1.2634306,0.7887521,0.84524727,-1.2963443,-0.14639902,-1.3370676,1.1479621,0.5430584,-0.1346674,-0.26018476,-0.25528765,-0.65573096,-0.0777092,-0.05894947,-1.0021982,1.3562012,0.9808173
82,SO_0028,0.90875053,1.3015938,0.6164365,0.67269325,1.2424083,0.07554436,-0.9937396,-0.99531317,-0.059216976,0.44021845,0.059216738,-0.7073078,0.8662152,0.37308407,0.23379755,-0.3747449,-0.591954,-1.2656069,-0.7098849,-0.90059996,-0.20552802,-1.7173505
83,SO_0029,0.5012529,0.51140475,0.21243453,0.6633413,0.6669557,-0.7578695,-0.35283017,-0.16477847,0.25000405,0.49005008,-0.110957384,0.03745675,0.6145971,0.82702327,-0.3700292,-0.03745675,-0.5966909,-0.5708077,0.23408484,-0.28291345,-0.60606265,-0.5631354
84,SO_0029,-0.16397142,0.25829935,-0.096756935,0.5576329,1.0335584,-0.3579836,-0.41504192,-1.5702062,0.45008183,0.5003257,1.141552,-0.2579775,1.090229,0.9550381,0.41732025,-0.05696392,0.47446728,-0.3990612,-0.2529564,0.05696392,-0.25664473,-0.4316988
85,SO_0029,0.490865,0.57144666,-0.3296368,1.068495,1.2201483,-0.3807118,-0.06303239,-2.4656708,0.14001727,0.36075807,0.27843022,-0.14906049,1.0087392,0.7946384,-0.18400359,0.18228841,-0.5195129,-0.09256005,-0.32946563,0.012645483,-0.23193383,-0.012645483
86,SO_0030,0.27284932,0.33549333,0.5825188,0.75700593,0.5607369,-0.49326777,0.4692433,-0.9596517,0.076762915,0.1308949,-0.3730743,-0.37115026,0.4346249,0.4598391,-0.7951472,0.11020827,-0.6564896,-0.076762915,-0.7136295,-0.16879249,-0.54832244,-0.43216252
87,SO_0030,0.14163399,-0.010490418,-0.17233515,0.19253397,0.47749376,-0.5019994,-0.12694788,-0.78204584,0.13180065,0.6022401,0.010490418,-0.0494895,0.49381876,0.6119752,-0.30625248,-0.20438004,0.22148752,-0.17446423,0.43621588,0.17948532,-0.0865736,-0.11725569
88,SO_0030,0.06826091,-0.36257243,-0.23519683,0.36937833,0.3263266,-0.6512201,-0.2518475,-0.17441821,0.17986989,0.43264842,0.14560485,0.07516742,0.3157971,0.42956185,-0.49482894,0.14126134,-0.6294544,-0.3393047,-1.8406837,0.060427427,-0.46450257,-0.060427427
