,GENE,GSM663193,GSM663194,GSM663195,GSM663196,GSM663197,GSM663198
6675,SO2999,-0.263,-0.585,-0.485,-1.322,-1.322,-2.0
6676,SO2999F,,,,,,
6677,SO2999F,,,,,,
6678,SO3000,-0.415,0.0,-0.111,-0.524,-0.954,-0.759
6679,SO3000,-0.341,0.807,0.16,0.0,-0.628,-0.823
6680,SO3000F,,,,,,
6681,SO3000F,,,,,,
6682,SO3001,0.193,0.0,0.126,0.363,-0.263,0.0
6683,SO3001,-0.485,-0.322,0.0,0.193,-0.848,-0.678
6684,SO3002,0.0,0.0,0.0,0.0,-0.848,-0.485
6685,SO3002,0.17,0.415,0.29,0.17,-1.0,-0.485
6686,SO3003,0.0,0.0,-0.263,-0.322,-1.222,-0.322
6687,SO3003,0.0,1.0,0.222,0.0,-0.415,-0.737
6688,SO3004,0.848,0.415,0.415,0.415,-1.926,-1.0
6689,SO3004,0.0,0.322,-0.193,-0.363,-1.17,-1.0
6690,SO3005,-0.415,0.585,-0.17,-0.485,-0.652,-0.807
6691,SO3005,0.585,1.0,-0.222,0.193,2.07,-1.0
6692,SO3006,0.248,1.0,0.0,-0.181,-0.874,-1.054
6693,SO3006,0.951,1.087,0.637,0.0,-1.222,-0.737
6694,SO3007,,,,,,
6695,SO3007,,,,,,
6696,SO3008,1.459,1.737,0.83,-2.0,-1.222,-1.485
6697,SO3008,1.926,2.17,1.585,-1.322,-1.379,-1.585
6698,SO3009,0.0,-0.585,0.415,0.0,0.0,-1.585
6699,SO3009,0.0,0.0,-0.585,-1.0,-0.737,-0.585
6700,SO3010,0.585,0.415,-0.678,0.0,0.0,-0.322
6701,SO3010,0.848,0.0,-0.222,-0.585,-0.222,0.322
6702,SO3011,0.222,-0.415,0.585,0.585,-0.322,-0.848
6703,SO3011,-0.222,0.0,0.0,-0.222,-0.241,-1.115
6704,SO3012,-0.222,0.17,-0.415,0.503,0.222,-0.322
6705,SO3012,0.363,-0.138,0.0,0.637,0.447,0.0
6706,SO3013,-0.16,0.023,-0.775,-0.089,0.367,0.031
6707,SO3013,0.482,0.111,-0.19,0.263,0.374,0.618
6708,SO3014,-0.366,-0.867,-1.022,-0.155,-0.457,0.028
6709,SO3014,0.331,-0.128,-0.807,-0.138,-0.254,-0.766
6710,SO3015,-0.387,-0.434,-0.936,-0.913,-0.895,-0.24
6711,SO3015,0.171,-0.222,-0.771,-0.315,-0.571,0.568
6712,SO3015F,,,,,,
6713,SO3015F,,,,,,
6714,SO3016,1.444,0.804,-0.607,-0.43,-0.604,-1.067
6715,SO3016,1.0,0.48,-1.145,-0.899,-0.904,0.79
6716,SO3017,1.708,1.443,-1.078,-1.074,-0.773,0.112
6717,SO3017,1.532,1.011,-1.089,-1.045,-1.082,0.234
6718,SO3017F,,,,,,
6719,SO3017F,,,,,,
6720,SO3017F,,,,,,
6721,SO3017F,,,,,,
6722,SO3018,,,,,,
6723,SO3018,,,,,,
6724,SO3018F,,,,,,
6725,SO3018F,,,,,,
6726,SO3019,3.234,2.267,3.259,-2.937,-3.04,-3.817
6727,SO3019,2.579,2.014,3.082,-4.032,-3.415,-4.115
6728,SO3020,3.623,3.275,3.624,-3.64,-3.546,-4.459
6729,SO3020,3.529,2.725,3.557,-4.072,-3.747,-3.834
6730,SO3021,3.726,3.392,3.492,-3.242,-3.676,-3.472
6731,SO3021,3.211,3.0,3.394,-4.204,-3.989,-3.716
6732,SO3022,4.003,3.525,3.159,-2.731,-2.851,-3.778
6733,SO3022,4.466,3.366,3.677,-2.979,-2.921,-3.681
6734,SO3022F,,,,,,
6735,SO3022F,,,,,,
6736,SO3023,2.465,1.991,2.157,-3.307,-2.935,-2.932
6737,SO3023,2.995,2.306,2.453,-2.457,-2.687,-2.745
6738,SO3024,2.968,2.11,1.593,-2.728,-2.355,-3.23
6739,SO3024,3.483,2.413,1.998,-2.653,-2.011,-2.939
6740,SO3024F,,,,,,
6741,SO3024F,,,,,,
6742,SO3024F,,,,,,
6743,SO3024F,,,,,,
6744,SO3025,2.509,1.474,1.308,-2.209,-2.0,-1.89
6745,SO3025,2.081,1.1,1.093,-3.278,-2.216,-2.16
6746,SO3026,1.956,-0.074,0.725,-0.579,-1.297,-0.516
6747,SO3026,1.236,1.187,0.092,-1.158,-1.326,-1.069
6748,SO3027,0.652,0.193,-1.737,0.0,0.3,1.087
6749,SO3027,0.322,0.138,-2.044,-0.29,0.0,1.17
6750,SO3028,0.0,-0.415,0.0,0.415,0.0,-1.0
6751,SO3028,0.0,0.0,-0.585,0.415,-2.0,-1.0
6752,SO3028F,,,,,,
6753,SO3028F,,,,,,
6754,SO3028F,,,,,,
6755,SO3028F,,,,,,
6756,SO3029,0.0,-0.29,-1.0,-0.459,0.234,0.541
6757,SO3029,0.322,0.0,-1.0,0.459,0.459,0.485
6758,SO3030,-0.585,-0.17,-0.531,-0.152,0.0,-0.585
6759,SO3030,0.415,0.193,0.0,0.585,-0.379,-0.678
6760,SO3031,1.0,0.263,-0.553,0.087,0.807,-0.093
6761,SO3031,0.263,-0.181,-0.531,-0.939,-0.559,-0.181
6762,SO3032,-0.585,-1.585,-1.322,-1.0,-0.585,-1.585
6763,SO3032,0.415,-0.585,-1.0,-1.0,0.0,-0.585
6764,SO3033,0.0,-0.322,0.0,0.0,-0.322,-0.585
6765,SO3033,0.0,0.415,0.0,-0.415,0.737,-1.0
6766,SO3034,0.363,0.485,-0.379,-0.848,-0.322,-0.678
6767,SO3034,0.778,0.678,0.0,-0.193,-0.678,-0.222
6768,SO3035,0.965,0.531,0.268,-0.358,-0.112,-0.657
6769,SO3035,0.476,0.09,0.13,-0.746,-0.737,-0.766
6770,SO3036,1.206,0.553,0.315,-0.585,-0.469,-1.293
6771,SO3036,1.73,0.663,0.874,-0.562,-0.206,-0.817
6772,SO3037,1.82,1.061,1.0,-0.834,-0.698,-0.977
6773,SO3037,1.285,1.0,0.368,-1.346,-0.646,-1.295
6774,SO3038,1.783,0.867,0.573,-0.344,-0.729,-0.447
6775,SO3038,1.24,1.148,-0.21,-0.642,-0.665,-0.758
6776,SO3045,1.0,0.485,-1.322,-0.678,-0.263,0.585
6777,SO3045,0.807,-0.152,-1.379,-2.0,-0.874,0.652
6778,SO3046,1.874,2.7,1.0,-2.17,-2.07,-2.07
6779,SO3046,2.115,2.459,1.348,-1.138,-1.663,-1.379
6780,SO3047,1.585,2.0,1.222,-1.295,-1.652,-1.64
6781,SO3047,1.29,1.766,0.883,-1.737,-2.69,-1.585
6782,SO3048,1.337,1.424,0.109,-1.536,-1.342,-1.215
6783,SO3048,1.818,1.72,0.98,-1.115,-1.115,-0.782
6784,SO3049,1.138,0.415,0.447,-1.807,-1.663,-1.415
6785,SO3049,0.874,0.585,0.628,-1.585,-1.874,-0.322
6786,SO3050,1.515,1.28,1.054,-1.17,-1.837,-1.503
6787,SO3050,1.28,1.0,1.193,-2.322,-2.044,-2.129
6788,SO3051,1.322,1.193,0.807,-2.0,-2.051,-2.147
6789,SO3051,1.737,1.0,1.295,-1.485,-1.392,-1.755
6790,SO3051F,,,,,,
6791,SO3051F,,,,,,
6792,SO3052,1.241,0.867,0.781,-2.032,-1.848,-1.706
6793,SO3052,1.503,1.322,1.067,-1.16,-1.874,-1.104
6794,SO3053,2.369,2.263,0.339,-2.17,-2.222,-2.503
6795,SO3053,2.059,2.044,0.512,-2.415,-2.644,-2.503
6796,SO3053F,,,,,,
6797,SO3053F,,,,,,
6798,SO3054,1.379,1.807,0.837,-2.138,-2.193,-0.585
6799,SO3054,1.678,1.0,0.585,-2.222,-2.55,-1.17
6800,SO3055,1.0,0.322,0.585,-1.222,-1.415,-1.415
6801,SO3055,0.0,0.415,0.193,-1.807,-1.737,-1.874
6802,SO3056,0.322,2.0,-0.193,-0.322,-0.322,-1.0
6803,SO3056,1.0,0.322,0.0,-1.0,-1.379,-1.0
6804,SO3057,1.0,0.737,0.0,-2.322,-1.807,-0.585
6805,SO3057,0.415,0.0,-0.222,-3.0,-1.807,-2.0
