,GENE,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502,GSM4233503,GSM4233504,GSM4233505,GSM4233506,GSM4233507,GSM4233508,GSM4233509,GSM4233510
55,SO_0019,8.041317397,8.031184747,8.508909277,8.096880299,8.660664791,8.075312476,8.564745266,8.206862172,8.398424676,7.859265346,8.311551381,7.986306419,8.207412794,7.989148255,8.505515359,8.030772665
56,SO_0020,7.459176156,7.397407996,7.184566324,7.511012048,7.572464055,7.849601124,7.861281349,7.907454566,7.394894612,7.654325466,7.664361084,7.707059715,7.838142662,7.890000516,8.126964489,7.781894911
57,SO_0020,7.904070606,7.681458667,7.82873209,7.376397514,8.986997729,9.001848221,9.12726915,8.945352642,8.697902815,8.711517719,8.826609272,8.657610099,9.559533166,9.178712472,9.477544029,9.064541713
58,SO_0020,3.640255099,3.951292907,4.231227928,4.074148986,3.625719109,2.787954056,4.167425198,2.410657568,3.445535243,2.573574308,3.98473819,2.20501678,3.809326761,5.012082717,3.920687459,3.602198459
59,SO_0021,10.27463305,10.15050108,10.34384509,10.09164211,9.282581903,9.277069614,9.439116813,8.673971831,8.970520455,8.965659136,9.117530457,8.409869826,8.668509653,8.862890322,8.380273291,8.135166108
60,SO_0021,,,,,,,,,,,,,,,,
61,SO_0021,,,,,,,,,,,,,,,,
62,SO_0022,12.04604757,12.56406762,12.36008407,12.03302505,14.46086581,13.83599795,13.94247729,14.81804068,13.95355596,13.37400622,13.46989858,14.27306847,14.98606508,15.26807204,15.05012845,15.20507325
63,SO_0022,7.386402181,7.110810444,7.006327064,6.95274227,7.209149567,7.504571437,7.584728328,7.430191905,7.062252647,7.331088277,7.406367689,7.262274618,7.083350382,6.831945355,6.973199445,7.7470626
64,SO_0022,9.032132087,9.035400775,9.040718048,9.06550052,8.996562005,9.069701731,9.207700933,9.099265844,8.707425152,8.776084666,8.901113158,8.801366044,8.7207372,8.284623456,8.736889384,8.582919599
65,SO_0023,9.967901815,11.01604659,10.812052,10.72924905,10.4890954,10.38232015,9.727122903,10.26667686,10.10703771,10.00644058,9.390210083,9.898252391,10.5219872,10.75396392,10.73244867,10.08209132
66,SO_0023,9.995060591,10.1806863,10.0879187,10.08882975,9.60611616,10.19825329,9.987219718,10.07443431,9.27405866,9.83469878,9.637282163,9.716745102,9.937034079,9.914787429,9.92163698,9.959758027
67,SO_0023,,,,,,,,,,,,,,,,
68,SO_0024,5.918119947,5.914387233,5.783819059,5.979427204,6.565579475,6.259156423,6.503827134,6.706928853,6.481099159,6.19143688,6.424487613,6.608537657,5.823854518,5.360421472,5.449780194,5.852226829
