,GENE,GSM358310,GSM358311,GSM358312
387,SO0172,-0.576436757,-0.053706491,0.343483132
388,SO0173,0.267515938,0.227841836,0.793532292
389,SO0173,-0.246179954,0.870193021,-0.129253595
390,SO0174,0.097844817,0.07588423,0.053520273
391,SO0174,-0.049008741,0.403693022,0.441221246
392,SO0175,-0.263526598,-0.388985067,-0.266961354
393,SO0175,0.065964491,0.362922121,0.084454625
394,SO0176,-0.027169571,0.339063153,0.341602259
395,SO0176,-0.22486649,0.139622518,0.365991366
396,SO0177,-0.717254257,-0.082547874,0.24863437
397,SO0177,-0.40860826,-0.352342346,-0.415024194
398,SO0178,0.04921723,0.009802754,-0.019439614
399,SO0178,-0.214897867,0.183867678,0.008634571
400,SO0178F,-0.824686481,0.067576799,0.103173202
401,SO0178F,-0.36015668,0.330309921,-0.18195264
402,SO0179,-0.223685665,0.397768214,0.381401774
403,SO0179,-0.436718011,0.038796161,-0.182878767
404,SO0179F,-0.657264158,-0.079746088,-0.092556749
405,SO0179F,-0.092866036,0.082203022,0.059878512
406,SO0180,-0.0872236,-0.050191482,-0.207039232
407,SO0180,-0.224360687,-1.466092182,-0.600361555
408,SO0181,0.21971053,0.139264818,0.406931126
409,SO0181,-1.109308206,-0.196423685,-0.573344266
410,SO0182,-0.146415062,-0.031727185,0.199797266
411,SO0182,-0.133185667,-0.175811475,-0.224521889
412,SO0183,-0.395734476,0.212994295,0.344183552
413,SO0183,-0.779567948,0.148425831,0.334522251
414,SO0184,-0.68628171,-0.126126214,-0.450444504
415,SO0184,-0.126411364,-0.016604863,-0.204544166
416,SO0185,0.172595628,0.417830958,0.045658503
417,SO0185,-1.186771881,-0.061978609,-0.46593498
418,SO0186,-0.840653736,-0.119149005,-0.040417695
419,SO0186,-0.599309566,0.023024121,0.369089195
420,SO0187,-0.296685182,0.256692659,0.223172613
421,SO0187,0.041481448,-0.490373487,-0.1147939
422,SO0188,-0.714949699,-0.098873257,-0.173604916
423,SO0188,0.040518516,-0.055383814,0.283862826
424,SO0189,-0.236363028,0.83093896,0.239996053
425,SO0189,-0.078592962,0.052171852,0.477188283
426,SO0189F,-0.28273884,-0.321540374,0.008856428
427,SO0189F,0.075935528,-0.257119425,0.090297553
428,SO0190,-0.194501589,-0.141462289,-0.165175011
429,SO0190,-0.138231086,0.007484723,-0.322491216
430,SO0191,-0.775251687,0.131515363,-0.121959345
431,SO0191,-0.10040094,-0.062323335,0.647511545
432,SO0192,-0.018976311,0.27328492,0.466829526
433,SO0192,-0.602445035,0.072224437,0.115799969
434,SO0193,0.110318162,-0.769325862,-0.635126517
435,SO0193,-0.337792284,0.475769648,-0.096972252
436,SO0194,-0.52204644,0.521065938,0.442199564
437,SO0194,-0.927506202,-0.363515497,-0.722734798
438,SO0195,0.245259154,0.235918204,0.296707487
439,SO0195,-0.787434268,0.359029917,-0.104371962
440,SO0196,-0.258960705,0.26585861,0.311586993
441,SO0196,-0.491976871,0.224384324,-0.170688703
442,SO0197,-1.724473607,-1.527406702,-0.393415971
443,SO0197,-0.243311369,0.421284091,-0.242617478
444,SO0198,0.183308709,-0.144894766,-0.398454978
445,SO0198,-0.016289403,-0.064308441,0.002360056
446,SO0199,-0.324233262,-0.375482632,-0.082483168
447,SO0199,-0.141375483,0.694947637,0.608463358
448,SO0200F,-0.525236007,-2.055630951,-1.581681872
449,SO0200F,0.090268071,0.332690434,0.632389244
450,SO0201,-0.028614904,0.333866219,0.329279306
451,SO0201,-0.846971303,0.089425374,-0.474565697
452,SO0201F,-0.202999819,0.168397712,-2.256691665
453,SO0201F,-0.238006303,-0.099133062,-0.253236312
454,SO0202,-1.061680859,0.337971511,0.409100514
455,SO0202,-1.549544461,0.119573942,0.254384672
456,SO0203,-0.274441601,-0.453771097,0.443992235
457,SO0203,0.06499668,-0.127593449,-0.13522055
